[2025-07-10 16:24:26,471] 	 WARNING: 	 Backup not supported for engine: None
[2025-07-10 16:24:26,487] 	 INFO: 	 Engine: sqlite
[2025-07-10 16:24:26,487] 	 INFO: 	 Driver: 
[2025-07-10 16:24:26,487] 	 INFO: 	 Username: 
[2025-07-10 16:24:26,487] 	 INFO: 	 Password: 
[2025-07-10 16:24:26,487] 	 INFO: 	 Host: 
[2025-07-10 16:24:26,487] 	 INFO: 	 Port: 
[2025-07-10 16:24:26,487] 	 INFO: 	 DB Name: development.db
[2025-07-10 16:24:26,487] 	 INFO: 	 DB Path: storage
[2025-07-10 16:24:26,487] 	 INFO: 	 Database directory ready at D:\GIT Data\web_dev_note\storage
[2025-07-10 16:24:26,487] 	 INFO: 	 SQLite database does not exist at D:\GIT Data\web_dev_note\storage\development.db. It will be created when models are initialized.
[2025-07-10 16:24:30,373] 	 WARNING: 	 Backup not supported for engine: None
[2025-07-10 16:24:30,388] 	 INFO: 	 Engine: sqlite
[2025-07-10 16:24:30,388] 	 INFO: 	 Driver: 
[2025-07-10 16:24:30,388] 	 INFO: 	 Username: 
[2025-07-10 16:24:30,388] 	 INFO: 	 Password: 
[2025-07-10 16:24:30,388] 	 INFO: 	 Host: 
[2025-07-10 16:24:30,388] 	 INFO: 	 Port: 
[2025-07-10 16:24:30,388] 	 INFO: 	 DB Name: development.db
[2025-07-10 16:24:30,388] 	 INFO: 	 DB Path: storage
[2025-07-10 16:24:30,388] 	 INFO: 	 Database directory already exists at D:\GIT Data\web_dev_note\storage
[2025-07-10 16:24:30,388] 	 INFO: 	 SQLite database does not exist at D:\GIT Data\web_dev_note\storage\development.db. It will be created when models are initialized.
